iter	Passed	Remaining
439	2225	303
440	2229	298
441	2233	293
442	2238	287
443	2242	282
444	2246	277
445	2251	272
446	2255	267
447	2260	262
448	2264	257
449	2269	252
450	2273	247
451	2280	242
452	2284	236
453	2288	231
454	2293	226
455	2297	221
456	2302	216
457	2309	211
458	2313	206
459	2318	201
460	2323	196
461	2327	191
462	2332	186
463	2337	181
464	2342	176
465	2346	171
466	2351	166
467	2355	161
468	2360	156
469	2365	150
470	2370	145
471	2374	140
472	2378	135
473	2382	130
474	2387	125
475	2392	120
476	2397	115
477	2401	110
478	2406	105
479	2410	100
480	2415	95
481	2420	90
482	2424	85
483	2428	80
484	2434	75
485	2439	70
486	2444	65
487	2451	60
488	2458	55
489	2463	50
490	2468	45
491	2473	40
492	2477	35
493	2481	30
494	2485	25
495	2491	20
496	2495	15
497	2500	10
498	2506	5
499	2511	0
