iter	Logloss
0	0.681132591
1	0.6704534813
2	0.6592725304
3	0.6498678401
4	0.6416213396
5	0.6344778236
6	0.6278450091
7	0.6217014498
8	0.6158462514
9	0.6105619795
10	0.6061114661
11	0.6016017669
12	0.5971863049
13	0.5932409721
14	0.5897003251
15	0.5874675869
16	0.5847075441
17	0.5816851556
18	0.57956702
19	0.5772402398
20	0.5751022576
21	0.5733002602
22	0.5707763081
23	0.5692086036
24	0.5676721301
25	0.5658820346
26	0.5642723407
27	0.5629266085
28	0.5615747071
29	0.5603713869
30	0.5585919582
31	0.5569678153
32	0.5557411
33	0.554680661
34	0.5535746319
35	0.552728795
36	0.551605572
37	0.5507941799
38	0.5500468544
39	0.549408835
40	0.5484345853
41	0.5474773574
42	0.5467557986
43	0.5460139323
44	0.5452200265
45	0.5443535754
46	0.5437995591
47	0.5431443536
48	0.5413349039
49	0.5407696565
50	0.5400750837
51	0.5395811063
52	0.5389826834
53	0.5382235333
54	0.5376756832
55	0.536936272
56	0.5362361745
57	0.5351853754
58	0.5344844281
59	0.5336282832
60	0.5331276572
61	0.5325363749
62	0.5318462875
63	0.5314310758
64	0.5309947079
65	0.530403094
66	0.5299286619
67	0.5294046797
68	0.5288193556
69	0.5281642611
70	0.5276177729
71	0.5272771331
72	0.5262601587
73	0.5257670488
74	0.5253217746
75	0.5247931808
76	0.5242344315
77	0.5238563711
78	0.5232550477
79	0.5227394714
80	0.5218860613
81	0.5215019469
82	0.5210460662
83	0.5205850311
84	0.5200792867
85	0.5196448979
86	0.5192196914
87	0.5189124876
88	0.5185427238
89	0.5180724532
90	0.5176854868
91	0.5172851052
92	0.5169439154
93	0.5166550194
94	0.5161881109
95	0.5152143682
96	0.51456522
97	0.5140525716
98	0.5137143842
99	0.5134361843
100	0.51294542
101	0.5125948386
102	0.5120304015
103	0.5117099699
104	0.5112513497
105	0.5108059048
106	0.5103723792
107	0.5099694195
108	0.5096603394
109	0.5092281345
110	0.5088226
111	0.5083579096
112	0.5081265333
113	0.5076908923
114	0.507208932
115	0.5068568787
116	0.5063998179
117	0.5059434794
118	0.5053259686
119	0.5049098384
120	0.5045153489
121	0.5042050295
122	0.5036826779
123	0.5033434607
124	0.5029190151
125	0.5024590971
126	0.5020990469
127	0.5016736495
128	0.5014384005
129	0.5010952454
130	0.5005753658
131	0.5000179531
132	0.4995349316
133	0.4992814692
134	0.4989934688
135	0.4986262616
136	0.4982604589
137	0.4979652214
138	0.4977041911
139	0.4974938732
140	0.4971477894
141	0.4968544164
142	0.4963948482
143	0.4960366895
144	0.4955048684
145	0.4949330778
146	0.4945563392
147	0.4938254745
148	0.4933656911
149	0.4930903233
150	0.492552219
151	0.4922667315
152	0.4918935234
153	0.4915671169
154	0.4911123389
155	0.4906813105
156	0.4904881163
157	0.4900290193
158	0.4897481005
159	0.4893965526
160	0.4889762167
161	0.4885012511
162	0.4881423066
163	0.4879529165
164	0.4875680157
165	0.4870555291
166	0.4865922366
167	0.4863131683
168	0.4861061712
169	0.4855216691
170	0.4851880526
171	0.4848255713
172	0.4845369239
173	0.4842590073
174	0.4837750403
175	0.483463507
176	0.4830486267
177	0.4826802271
178	0.4824605433
179	0.4820416863
180	0.4813048448
181	0.4809653392
182	0.480539351
183	0.4802530948
184	0.4798365016
185	0.4794299076
186	0.479069874
187	0.4784886886
188	0.4780902877
189	0.4777606939
190	0.4773019288
191	0.4769585309
192	0.4765656354
193	0.4762312169
194	0.4758848324
195	0.4755413822
196	0.4751839904
197	0.4748200908
198	0.4743887379
199	0.4740111661
200	0.4734606518
201	0.4730538149
202	0.4723037835
203	0.4718142161
204	0.4712293108
205	0.4709521859
206	0.4706282116
207	0.470212639
208	0.4698461569
209	0.4695257573
210	0.4692107699
211	0.4687741719
212	0.4684026172
213	0.4680191884
214	0.4678018464
215	0.4675509344
216	0.4670291811
217	0.4665519847
218	0.4661167638
219	0.4657768127
